	0
pi_TRACK_GhostProb	0.29484036564826965
pi_TRACK_Key	8
pi_TRACK_Likelihood	999.0
pi_TRACK_MatchCHI2	-1.0
pi_TRACK_PCHI2	0.012945858402059493
pi_TRACK_Type	5
pi_UsedRich1Gas	True
pi_UsedRich2Gas	False
pi_UsedRichAerogel	False
pi_Y	3.88903242791859
pi_hasCalo	True
pi_hasMuon	True
pi_hasRich	True
pi_isMuon	False
pi_mi_Omegac_ETA	3.7029963255595857
pi_mi_Omegac_ID	211
pi_mi_Omegac_IPCHI2_OWNPV	4.272658086772342
pi_mi_Omegac_IP_OWNPV	0.05809126339962044
pi_mi_Omegac_M	139.57061000080148
pi_mi_Omegac_ORIVX_CHI2	2.87283860727617
pi_mi_Omegac_ORIVX_COV_	{ 0.00320870f, -0.00335221f, 0.0845365f, -0.00335221f, 0.00451208f, -0.103446f, 0.0845365f, -0.103446f, 2.63669f }
pi_mi_Omegac_ORIVX_NDOF	5
pi_mi_Omegac_ORIVX_X	0.9327301844869497
pi_mi_Omegac_ORIVX_XERR	0.05664537640417638
pi_mi_Omegac_ORIVX_Y	0.15730764417401977
pi_mi_Omegac_ORIVX_YERR	0.06717201680968028
pi_mi_Omegac_ORIVX_Z	9.583445401893691
pi_mi_Omegac_ORIVX_ZERR	1.6237889894548707
pi_mi_Omegac_OWNPV_CHI2	60.701847076416016
pi_mi_Omegac_OWNPV_COV_	{ 7.56900e-05f, -1.19712e-07f, -3.36171e-05f, -1.19712e-07f, 7.39600e-05f, 1.36232e-05f, -3.36171e-05f, 1.36232e-05f, 0.00231361f }
pi_mi_Omegac_OWNPV_NDOF	133
pi_mi_Omegac_OWNPV_X	0.8872
pi_mi_Omegac_OWNPV_XERR	0.0087
pi_mi_Omegac_OWNPV_Y	0.1858
pi_mi_Omegac_OWNPV_YERR	0.0086
pi_mi_Omegac_OWNPV_Z	9.6854
pi_mi_Omegac_OWNPV_ZERR	0.0481
pi_mi_Omegac_P	25430.260000000002
pi_mi_Omegac_PE	25430.64300450887
pi_mi_Omegac_PHI	-0.9357272192610054
pi_mi_Omegac_PIDK	-51.43333053588867
pi_mi_Omegac_PIDd	-35.60767364501953
pi_mi_Omegac_PIDe	-5.889214515686035
pi_mi_Omegac_PIDmu	-5.578242301940918
pi_mi_Omegac_PIDp	-40.708290100097656
pi_mi_Omegac_PT	1252.9280378122971
pi_mi_Omegac_PX	743.2784459166909
pi_mi_Omegac_PY	-1008.6455372289327
pi_mi_Omegac_PZ	25399.375878152277
pi_mi_Omegac_ProbNNd	-1000.0
pi_mi_Omegac_ProbNNe	9.564299034536816e-06
pi_mi_Omegac_ProbNNghost	0.0006898452411405742
